AC No,AC Name,Sl no,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Vote Share (%)
149,MUMBRA - KALWA,7,PANDHRINATH SHIMGYA GAIKWAD,Vanchit Bahujan  Aaghadi,1669,9,1678,0.66
149,MUMBRA - KALWA,8,MUBARAK TARABUL ANSARI,Nirbhay Maharashtra Party,216,0,216,0.09
149,MUMBRA - KALWA,9,SARFARAZ KHAN ALIAS SAIFPATHAN,All India Majlis-E-Ittehadul Muslimeen,13509,10,13519,5.33
149,MUMBRA - KALWA,10,SARFARAZ SAYED ALI  SHAIKH,Social Democratic Party Of India,1076,2,1078,0.42
149,MUMBRA - KALWA,11,JYOTSNA AMAR HANDE,Independent,657,2,659,0.26
149,MUMBRA - KALWA,12,NOTA,None of the Above,2666,13,2679,1.06
150,AIROLI,1,ARVINDSINGH SHRIRAM RAO,Bahujan Samaj Party,1255,6,1261,0.48
150,AIROLI,2,GANESH RAMCHANDRA NAIK,Bharatiya Janata Party,143772,489,144261,54.42
150,AIROLI,3,BANKHELE NILESH ARUN,Maharashtra Navnirman sena,6875,33,6908,2.61
150,AIROLI,4,MANOHAR KRISHNA MADHAVI (M.K.),Shiv Sena (Uddhav Balasaheb Thackeray),38351,225,38576,14.55
150,AIROLI,5,AMOL ANKUSH JAWLE,Republican Party of India (A),925,3,928,0.35
150,AIROLI,6,ANKUSH SAKHARAM KADAM,Maharashtra Swarajya party,8818,43,8861,3.34
150,AIROLI,7,BHUPENDRA NARAYAN GAVATE,Lokrajya Party,230,0,230,0.09
150,AIROLI,8,VIKRANT DAYANAND CHIKANE,Vanchit Bahujan  Aaghadi,6389,22,6411,2.42
150,AIROLI,9,DR. SHARAD DAGADU DESHMUKH,Sambhaji Brigade Party,224,1,225,0.08
150,AIROLI,10,SACHIN GYANBA MAGAR,Bahujan Republican  Socialist Party,889,2,891,0.34
150,AIROLI,11,CHOUGULE VIJAY LAXMAN,Independent,52257,124,52381,19.76
150,AIROLI,12,RATNADEEP TULSHIRAM WAGHMARE,Independent,188,0,188,0.07
150,AIROLI,13,RAJIV KONDIBA BHOSALE,Independent,198,0,198,0.07
150,AIROLI,14,RAHUL JAGBIRSINGH MEHROLIYA,Independent,156,0,156,0.06
150,AIROLI,15,SHARAD RAMKISAN JADHAV,Independent,459,0,459,0.17
150,AIROLI,16,SUBHASH DIGAMBAR KALE,Independent,315,1,316,0.12
150,AIROLI,17,HARISHCHANDRA BHAGURAM JADHAV,Independent,131,0,131,0.05
150,AIROLI,18,NOTA,None of the Above,2695,13,2708,1.02
151,BELAPUR,1,GAJANAN SHRIKRISHNA KALE,Maharashtra Navnirman sena,17554,150,17704,7.52
151,BELAPUR,2,MANDA VIJAY MHATRE,Bharatiya Janata Party,91429,423,91852,39.04
151,BELAPUR,3,SHIVSHARAN MALIKARJUN PUJARI,Bahujan Samaj Party,1050,9,1059,0.45
151,BELAPUR,4,SANDEEP GANESH NAIK,Nationalist Congress Party- Sharadchandra Pawar,91014,461,91475,38.88
151,BELAPUR,5,DR AJAY RAJSHRI BABURAM GUPTA,Sambhaji Brigade Party,576,1,577,0.25
151,BELAPUR,6,PRAFULLA NARAYAN MHATRE,Maharashtra Rajya Samiti,2858,2,2860,1.22
151,BELAPUR,7,MAHADEV SUKER MANGELA,Peoples Party of India (Democratic),197,0,197,0.08
151,BELAPUR,8,SUNIL PRABHU BHOLE,Vanchit Bahujan  Aaghadi,2815,18,2833,1.2
151,BELAPUR,9,DR. AMALE MANGESH MAHADEO,Independent,2321,12,2333,0.99
151,BELAPUR,10,PADIYE SHARMILA SANJAY,Independent,135,0,135,0.06
151,BELAPUR,11,MANDA MHATRE,Independent,557,0,557,0.24
151,BELAPUR,12,VIJAY NAHATA,Independent,19518,128,19646,8.35
151,BELAPUR,13,DR. VISHAL ANANDRAO MANE,Independent,704,13,717,0.3
151,BELAPUR,14,VISHNU NANDU WASMANI,Independent,232,1,233,0.1
151,BELAPUR,15,SANDEEP NAIK,Independent,510,3,513,0.22
151,BELAPUR,16,NOTA,None of the Above,2564,24,2588,1.1
152,BORIVALI,1,KISAN SUKHDEVRAO INGOLE,Bahujan Samaj Party,1662,15,1677,0.82
152,BORIVALI,2,KUNAL VIJAY MAINKAR,Maharashtra Navnirman sena,17710,119,17829,8.74
152,BORIVALI,3,SANJAY UPADHYAY,Bharatiya Janata Party,139365,582,139947,68.57
152,BORIVALI,4,SANJAY WAMAN BHOSALE,Shiv Sena (Uddhav Balasaheb Thackeray),39357,333,39690,19.45
152,BORIVALI,5,BHARAT ARJANBHAI BHUVA(PATEL),Sardar Vallabhbhai Patel Party,533,4,537,0.26
152,BORIVALI,6,KIRAN RAM SAWANT,Independent,296,2,298,0.15
152,BORIVALI,7,BALA NAYAGAM,Independent,460,4,464,0.23
152,BORIVALI,8,NOTA,None of the Above,3602,35,3637,1.78
153,DAHISAR,1,GHOSALKAR VINOD RAMCHANDRA,Shiv Sena (Uddhav Balasaheb Thackeray),54070,188,54258,33.37
153,DAHISAR,2,CHAUDHARY MANISHA ASHOK,Bharatiya Janata Party,98338,249,98587,60.64
153,DAHISAR,3,RAJESH GANGARAM YERUNKAR,Maharashtra Navnirman sena,5436,20,5456,3.36
153,DAHISAR,4,SATISH DNYANDEV SHARNAGAT,Bahujan Samaj Party,534,2,536,0.33
153,DAHISAR,5,ASHOK KUMAR SHYAMSHARAN GUPTA,Sambhaji Brigade Party,193,0,193,0.12
153,DAHISAR,6,KAMLAKAR KHANDU SALVE,Vanchit Bahujan  Aaghadi,487,3,490,0.3
153,DAHISAR,7,KALPESH D. PAREKH,Sardar Vallabhbhai Patel Party,162,1,163,0.1
153,DAHISAR,8,ROSHAN HARISHANKAR YADAV,Rashtriya Swarajya Sena,96,0,96,0.06
153,DAHISAR,9,DHARMENDRA RAMMURAT PANDEY,Independent,131,0,131,0.08
153,DAHISAR,10,MAMTA RAMFER SHARMA,Independent,482,0,482,0.3
153,DAHISAR,11,NOTA,None of the Above,2176,15,2191,1.35
154,MAGATHANE,1,UDESH PATEKAR,Shiv Sena (Uddhav Balasaheb Thackeray),47155,208,47363,26.1
154,MAGATHANE,2,NAYAN PRADEEP KADAM,Maharashtra Navnirman sena,21222,75,21297,11.74
154,MAGATHANE,3,PRAKASH SURVE,Shiv Sena,105187,340,105527,58.15
154,MAGATHANE,4,RAJESH RAMKISAN MALLAH,Bahujan Samaj Party,891,7,898,0.49
154,MAGATHANE,5,DEEPAK SHIVAJI HANWATE,Vanchit Bahujan  Aaghadi,2251,6,2257,1.24
154,MAGATHANE,6,SHRIHARI TUKARAM BAGAL,Rashtriya Swarajya Sena,206,0,206,0.11
154,MAGATHANE,7,GOPAL ISHWARLAL JHAVERI,Independent,663,3,666,0.37
154,MAGATHANE,8,RAKESH PATEKAR,Independent,431,2,433,0.24
154,MAGATHANE,9,NOTA,None of the Above,2803,15,2818,1.55
155,MULUND,1,MIHIR KOTECHA,Bharatiya Janata Party,130868,681,131549,71.78
155,MULUND,2,RAKESH SHANKAR SHETTY,Indian National Congress,41246,271,41517,22.65
155,MULUND,3,ADV.SIDDHESH NANDA K. AVHAD,Bahujan Samaj Party,1183,13,1196,0.65
155,MULUND,4,NITIN SHANKAR KOLEKAR,Rashtriya Samaj Paksha,319,3,322,0.18
155,MULUND,5,PRADEEP MAHADEV SHIRSAT,Vanchit Bahujan  Aaghadi,3194,22,3216,1.75
155,MULUND,6,SANJAY S. DESHPANDE,Bahujan Republican  Socialist Party,194,2,196,0.11
155,MULUND,7,SANJIVANI MAHESH VAITY,Lokrajya Party,535,6,541,0.3
155,MULUND,8,DR.ANAND MAHADEO KASLE,Independent,157,4,161,0.09
155,MULUND,9,KESHAV MADHUKAR JOSHI (KAILAS),Independent,527,3,530,0.29
155,MULUND,10,NANDKUMAR BIRBAL SINGH,Independent,209,1,210,0.11
155,MULUND,11,NOTA,None of the Above,3806,28,3834,2.09
156,VIKHROLI,1,VISHWAJIT SHANKAR DHOLAM,Maharashtra Navnirman sena,16716,97,16813,11.92
156,VIKHROLI,2,SUNIL RAJARAM RAUT,Shiv Sena (Uddhav Balasaheb Thackeray),65715,378,66093,46.86
156,VIKHROLI,3,SUVARNA SAHADEV KARANJE,Shiv Sena,50363,204,50567,35.85
156,VIKHROLI,4,HARSHVARDHAN NAVANATH KHANDEKAR,Bahujan Samaj Party,700,9,709,0.5
156,VIKHROLI,5,AJAY RAVINDRA KHARAT,Vanchit Bahujan  Aaghadi,3418,25,3443,2.44
156,VIKHROLI,6,DANDGE SUKHDEV CHANDU,Republican Sena,95,0,95,0.07
156,VIKHROLI,7,PROF. DR. PRASHANT GANGAWANE (SIR),Desh Janhit Party,102,0,102,0.07
156,VIKHROLI,8,BHAWANI HIRALAL CHOWDHARY,Sardar Vallabhbhai Patel Party,659,0,659,0.47
156,VIKHROLI,9,MARGARET DEVID GAIKWAD,Indian Political Congress Party,87,0,87,0.06
156,VIKHROLI,10,ADV. SHRIKANT SHINDE,Swabhimani Paksha,130,0,130,0.09
156,VIKHROLI,11,SAMARPAN,Sanay Chatrapati Shasan,80,6,86,0.06
156,VIKHROLI,12,HEMANT (DADA) SHANKAR PAWAR,Rashtriya Samaj Paksha,249,1,250,0.18
156,VIKHROLI,13,CHANDRAPAL MULKITSING TANDE,Independent,292,0,292,0.21
156,VIKHROLI,14,NOTA,None of the Above,1689,20,1709,1.21
157,BHANDUP WEST,1,ASHOK DHARMARAJ PATIL,Shiv Sena,77520,234,77754,42.74
157,BHANDUP WEST,2,RAMESH GAJANAN KORGAONKAR,Shiv Sena (Uddhav Balasaheb Thackeray),70698,292,70990,39.02
157,BHANDUP WEST,3,RAVI ASHOK THATE,Bahujan Samaj Party,811,3,814,0.45
157,BHANDUP WEST,4,SHIRISH GUNWANT SAWANT,Maharashtra Navnirman sena,23257,78,23335,12.83
157,BHANDUP WEST,5,VITTHAL CHIMAJI YAMKAR,Rashtriya Samaj Paksha,252,3,255,0.14
157,BHANDUP WEST,6,SNEHAL ARUN SOHANI,Vanchit Bahujan  Aaghadi,4478,27,4505,2.48
157,BHANDUP WEST,7,ANKUSH VASANT KURADE,Independent,136,0,136,0.07
157,BHANDUP WEST,8,KASHID SAMBHAJI SHIVAJI,Independent,247,1,248,0.14
157,BHANDUP WEST,9,DILIP RAJARAM SALUNKHE,Independent,308,0,308,0.17
157,BHANDUP WEST,10,PRASHANT SURYAKANT SATOSKAR,Independent,250,1,251,0.14
157,BHANDUP WEST,11,ADV. RUPALI BAPU BHADKE,Independent,345,0,345,0.19
157,BHANDUP WEST,12,SADANAND VENKATRAMAN BHAT,Independent,578,0,578,0.32
157,BHANDUP WEST,13,NOTA,None of the Above,2399,7,2406,1.32
158,JOGESHWARI EAST,1,ANANT (BALA) B. NAR,Shiv Sena (Uddhav Balasaheb Thackeray),76615,429,77044,43.32
158,JOGESHWARI EAST,2,TAYYABALI YUSUF ALI SHAIKH,Bahujan Samaj Party,523,0,523,0.29
158,JOGESHWARI EAST,3,BHALCHANDRA GANGARAM AMBURE,Maharashtra Navnirman sena,12737,68,12805,7.2
158,JOGESHWARI EAST,4,MANISHA RAVINDRA WAIKAR,Shiv Sena,75093,410,75503,42.45
158,JOGESHWARI EAST,5,PARMESHWAR ASHOK RANSHUR,Vanchit Bahujan  Aaghadi,2807,12,2819,1.59
158,JOGESHWARI EAST,6,BABRUVAN RAMA SURYAVANSHI,Bahujan Bharat Party,185,2,187,0.11
158,JOGESHWARI EAST,7,RADHAKISAN SANNYASI,Rashtriya Swarajya Sena,225,1,226,0.13
158,JOGESHWARI EAST,8,VIJAY PATIRAM YADAV,Rashtriya Samaj Paksha,186,0,186,0.1
158,JOGESHWARI EAST,9,AJAY VASANT BAISANE,Independent,181,3,184,0.1
158,JOGESHWARI EAST,10,IQBAL BABU KHAN,Independent,82,0,82,0.05
158,JOGESHWARI EAST,11,GULAAM MOHAMMAD ABDUL RAUF KHAN,Independent,295,0,295,0.17
158,JOGESHWARI EAST,12,DHARMENDRANATH THAKUR,Independent,835,4,839,0.47
158,JOGESHWARI EAST,13,PRAVIN CHANDRASHEKHAR TALIKOTI,Independent,169,0,169,0.1
158,JOGESHWARI EAST,14,MOHAMMED FAIZ RAIS ANSARI,Independent,124,0,124,0.07
158,JOGESHWARI EAST,15,YOGESH MAHENDRA YADAV,Independent,126,1,127,0.07
158,JOGESHWARI EAST,16,RAKESH CHHABU UGHADE,Independent,585,2,587,0.33
158,JOGESHWARI EAST,17,ROHAN SATONE,Independent,1985,1,1986,1.12
158,JOGESHWARI EAST,18,VITTHAL GOVIND LAD,Independent,633,2,635,0.36
158,JOGESHWARI EAST,19,SHAKEEL AHMAD SHAIKH,Independent,78,0,78,0.04
158,JOGESHWARI EAST,20,SHAHABUDDIN KAMALUDDIN KHAN,Independent,196,1,197,0.11
158,JOGESHWARI EAST,21,SAMEER MORE,Independent,142,0,142,0.08
158,JOGESHWARI EAST,22,SANJAY GIRISH DHODMANI,Independent,226,0,226,0.13
158,JOGESHWARI EAST,23,NOTA,None of the Above,2862,25,2887,1.62
159,DINDOSHI,1,KANOJIYA MAHENDRA SHYAMAPRASAD,Bahujan Samaj Party,847,6,853,0.48
159,DINDOSHI,2,ADV. BHASKAR BUDHAJI PARAB,Maharashtra Navnirman sena,20248,61,20309,11.43
159,DINDOSHI,3,SUNIL WAMAN PRABHU,Shiv Sena (Uddhav Balasaheb Thackeray),76115,322,76437,43.03
159,DINDOSHI,4,SANJAY NIRUPAM,Shiv Sena,70057,198,70255,39.55
159,DINDOSHI,5,ADV. JEETESH S. VARSHNEY,Rashtriya Swarajya Sena,246,0,246,0.14
159,DINDOSHI,6,PROF. DATTU KAJALE,Socialist Unity Centre Of India (COMMUNIST),199,0,199,0.11
159,DINDOSHI,7,MOHAMMAD SALMAN ANSARI,Peoples Party of India (Democratic),135,0,135,0.08
159,DINDOSHI,8,RAJENDRA TANAJI SASANE,Vanchit Bahujan  Aaghadi,1195,4,1199,0.68
159,DINDOSHI,9,ANIL LAXMAN CHITALE,Independent,122,2,124,0.07
159,DINDOSHI,10,ANWAR PEER SAYYED,Independent,169,1,170,0.1
159,DINDOSHI,11,KRISHNA LAXMAN DESAI,Independent,202,2,204,0.11
159,DINDOSHI,12,GAJANAN TUKARAM SONKAMBLE,Independent,113,1,114,0.06
159,DINDOSHI,13,TUSHAR SHIVRAM MANE,Independent,444,0,444,0.25
159,DINDOSHI,14,NILESH HARIDAS NAVGIRE,Independent,899,1,900,0.51
159,DINDOSHI,15,RAJBALI RAMBARAN SAHANI,Independent,214,0,214,0.12
159,DINDOSHI,16,RUPESH RADHESHYAM KADAM,Independent,3533,7,3540,1.99
159,DINDOSHI,17,SHAKIR NASIR SHAIKH,Independent,250,0,250,0.14
159,DINDOSHI,18,SANJAY VISHWANATH SAKPAL,Independent,139,0,139,0.08
159,DINDOSHI,19,HUSSAIN ISMAIL TAJ,Independent,365,0,365,0.21
159,DINDOSHI,20,NOTA,None of the Above,1516,14,1530,0.86
160,KANDIVALI EAST,1,ATUL BHATKHALKAR,Bharatiya Janata Party,113792,411,114203,72.39
160,KANDIVALI EAST,2,KALU BUDHELIA,Indian National Congress,30478,132,30610,19.4
160,KANDIVALI EAST,3,MAHESH FARKASE,Maharashtra Navnirman sena,7839,37,7876,4.99
160,KANDIVALI EAST,4,VENUGOPAL,Bahujan Samaj Party,275,3,278,0.18
160,KANDIVALI EAST,5,RAVI BABU GAVLI,Samata Party,163,1,164,0.1
160,KANDIVALI EAST,6,VIKAS SIDDHARTH SHIRSAT,Vanchit Bahujan  Aaghadi,1697,20,1717,1.09
160,KANDIVALI EAST,7,GAJANAN TUKARAM SONKAMBLE,Independent,67,1,68,0.04
160,KANDIVALI EAST,8,REEMA AMARBAHADUR YADAV,Independent,379,2,381,0.24
160,KANDIVALI EAST,9,SATISH RAMCHANDRA SALVE,Independent,292,0,292,0.19
160,KANDIVALI EAST,10,NOTA,None of the Above,2152,10,2162,1.37
161,CHARKOP,1,DINESH SALVI,Maharashtra Navnirman sena,15121,79,15200,8.29
161,CHARKOP,2,YASHWANT JAYPRAKASH SINGH,Indian National Congress,36043,158,36201,19.74
161,CHARKOP,3,YOGESH SAGAR,Bharatiya Janata Party,126849,506,127355,69.44
161,CHARKOP,4,DILIP GULABRAO LINGAYAT,Vanchit Bahujan  Aaghadi,1213,12,1225,0.67
161,CHARKOP,5,NIPUL JAYANTILAL MAKWANA,Hindu Samaj Party,204,0,204,0.11
161,CHARKOP,6,SAURABH MAHENDRA SHUKLA,Rashtriya Samaj Paksha,216,1,217,0.12
161,CHARKOP,7,ABDUL LATIF NAWAZ ALI SHAIKH,Independent,259,1,260,0.14
161,CHARKOP,8,JANARDAN S. (BALA) PARAB,Independent,240,1,241,0.13
161,CHARKOP,9,HARESH JIVRAJ MAKADIA,Independent,190,0,190,0.1
161,CHARKOP,10,NOTA,None of the Above,2292,21,2313,1.26
162,MALAD WEST,1,ASLAM RAMJANALI SHAIKH,Indian National Congress,97809,393,98202,49.81
162,MALAD WEST,2,VINOD SHELAR,Bharatiya Janata Party,91713,262,91975,46.65
162,MALAD WEST,3,CYRIL DSOUZA,Bahujan Samaj Party,915,5,920,0.47
162,MALAD WEST,4,AJAY ROKADE,Vanchit Bahujan  Aaghadi,1057,13,1070,0.54
162,MALAD WEST,5,ASHABAI SUNIL KHAIRNAR,Hindu Samaj Party,134,1,135,0.07
162,MALAD WEST,6,KAMLESHBHAI DAYABHAI VYAS,Sardar Vallabhbhai Patel Party,76,1,77,0.04
162,MALAD WEST,7,MOHAMMAD UMAR RAZA SHAIKH,Indian Political Congress Party,85,0,85,0.04
162,MALAD WEST,8,SHANUL HASSAN SAYED,Rashtriya Ulama Council,92,0,92,0.05
162,MALAD WEST,9,SHYAMBIHARI KANHAIYALAL JAISWAR,Rashtriya Swarajya Sena,81,0,81,0.04
162,MALAD WEST,10,HAFEEZ YAKUB SAYYED,Bahujan Maha Party,85,0,85,0.04
162,MALAD WEST,11,ASHRAF ALI ABUSHAMA KHAN,Independent,114,0,114,0.06
162,MALAD WEST,12,DANESH ALAM SAYYAD,Independent,191,0,191,0.1
162,MALAD WEST,13,BAKTHINATHAN ALIAS VENKAT,Independent,815,17,832,0.42
162,MALAD WEST,14,MINESH TARUN MODI,Independent,103,0,103,0.05
162,MALAD WEST,15,MOHSIN QASIM SHAIKH,Independent,204,0,204,0.1
162,MALAD WEST,16,RIZWANA KHAN,Independent,765,1,766,0.39
162,MALAD WEST,17,VENUGOPAL,Independent,444,0,444,0.23
162,MALAD WEST,18,SADIK KHAN,Independent,280,0,280,0.14
162,MALAD WEST,19,NOTA,None of the Above,1502,6,1508,0.76
163,GOREGAON,1,AMOL DASHRATH SAWANT,Bahujan Samaj Party,1160,17,1177,0.64
163,GOREGAON,2,VIDYA THAKUR,Bharatiya Janata Party,95924,440,96364,52.39
163,GOREGAON,3,VIRENDRA VIJAY JADHAV,Maharashtra Navnirman sena,9676,42,9718,5.28
163,GOREGAON,4,SAMEER KAMLAKAR DESAI,Shiv Sena (Uddhav Balasaheb Thackeray),72403,361,72764,39.56
163,GOREGAON,5,CHANDAN CHATURVEDI,Uttar Bhartiya Vikas Sena,389,0,389,0.21
163,GOREGAON,6,CHHAYA SUNIL TIWARI,Janata Congress,113,1,114,0.06
163,GOREGAON,7,BHARAT ARJANBHAI BHUVA,Sardar Vallabhbhai Patel Party,174,0,174,0.09
163,GOREGAON,8,BHARAT KHIMJI SHAH,Hindu Samaj Party,291,1,292,0.16
163,GOREGAON,9,ADV. MITESH VARSHNEY,Rashtriya Swarajya Sena,86,2,88,0.05
163,GOREGAON,10,VIKAS MOHAN THAKUR,Bhartiya Mahasangh Party,247,0,247,0.13
163,GOREGAON,11,SANTOSH MANIK RAYBAN,Aapki Apni Party (Peoples),361,3,364,0.2
163,GOREGAON,12,ADV. ADVAIT DEWDATTA GAWDE,Independent,223,1,224,0.12
163,GOREGAON,13,SUDHIR SHANKAR HOLE,Independent,229,4,233,0.13
163,GOREGAON,14,NOTA,None of the Above,1796,9,1805,0.98
164,VERSOVA,1,DR. BHARATI LAVEKAR,Bharatiya Janata Party,63541,255,63796,43.13
164,VERSOVA,2,SANJAY SAKHARAM PATIL,Bahujan Samaj Party,820,8,828,0.56
164,VERSOVA,3,SANDESH DESAI,Maharashtra Navnirman sena,5021,16,5037,3.41
164,VERSOVA,4,HAROON KHAN,Shiv Sena (Uddhav Balasaheb Thackeray),65269,127,65396,44.21
164,VERSOVA,5,ALMAS HAYATULLAH SHAIKH,Akhil Bharatiya Muslim League (Secular),252,0,252,0.17
164,VERSOVA,6,ADV. ASHISH PRADEEP SOHANI,Rashtriya Swarajya Sena,80,1,81,0.05
164,VERSOVA,7,AJAZ KHAN,Aazad Samaj Party (Kanshi Ram),155,0,155,0.1
164,VERSOVA,8,GEETA KUMARI SINGH,Rashtriya Samaj Paksha,249,1,250,0.17
164,VERSOVA,9,NEHAL JAMAL SAYYED,Janata Congress,76,0,76,0.05
164,VERSOVA,10,PAWAN DEVBAKSH SINGH,Bahujan Maha Party,96,2,98,0.07
164,VERSOVA,11,RAIEES LASHKARIA,All India Majlis-E-Ittehadul Muslimeen,2928,9,2937,1.99
164,VERSOVA,12,SANGEETA RAYBAN,Right to Recall Party,133,0,133,0.09
164,VERSOVA,13,DINESHKUMAR KESHAV PRASAD,Independent,316,0,316,0.21
164,VERSOVA,14,RAJU SHRIPAD PEDNEKAR,Independent,6736,16,6752,4.56
164,VERSOVA,15,ADV.  LATA PANDURANG SHINDE,Independent,98,1,99,0.07
164,VERSOVA,16,SUNIL LAXMAN CHAVAN,Independent,424,0,424,0.29
164,VERSOVA,17,NOTA,None of the Above,1293,5,1298,0.88
165,ANDHERI WEST,1,AMEET BHASKAR SATAM,Bharatiya Janata Party,84595,386,84981,54.75
165,ANDHERI WEST,2,ASHOK BHAU JADHAV,Indian National Congress,65205,177,65382,42.12
165,ANDHERI WEST,3,PATITPAVAN PUNDLIKRAO NEEL,Bahujan Samaj Party,293,4,297,0.19
165,ANDHERI WEST,4,ARORA SURINDER MOHAN,Bharat Jan Aadhar Party,218,3,221,0.14
165,ANDHERI WEST,5,PRAKASH BABU KOKARE,Janhit Lokshahi Party,218,4,222,0.14
165,ANDHERI WEST,6,BABANNA RAMU KUSHALKAR,Uttar Bhartiya Vikas Sena,251,0,251,0.16
165,ANDHERI WEST,7,ARIF MOINUDDIN SHAIKH,Independent,1524,3,1527,0.98
165,ANDHERI WEST,8,SANTOSH NATRAJ JANGAM,Independent,521,0,521,0.34
165,ANDHERI WEST,9,NOTA,None of the Above,1811,11,1822,1.17
166,ANDHERI EAST,1,RUTUJA RAMESH LATKE,Shiv Sena (Uddhav Balasaheb Thackeray),68057,467,68524,40.57
166,ANDHERI EAST,2,KUNDAN HINDURAO WAGHMARE,Bahujan Samaj Party,541,2,543,0.32
166,ANDHERI EAST,3,MURJI PATEL (KAKA),Shiv Sena,93554,456,94010,55.66
166,ANDHERI EAST,4,KAUSAR ALI ZAFAR ALI SYED,Rashtriya Ulama Council,397,2,399,0.24
166,ANDHERI EAST,5,ADV. PRADEEP ROHIDAS SONAWANE,Rashtriya Swarajya Sena,100,1,101,0.06
166,ANDHERI EAST,6,PREMA FLAVIA DSA,Swabhimani Paksha,235,4,239,0.14
166,ANDHERI EAST,7,BALA VENKATESH VINAYAK NADAR,Aapki Apni Party (Peoples),162,2,164,0.1
166,ANDHERI EAST,8,MANISH PRAKASH RAUT,Bahujan Vikas Aaghadi,104,2,106,0.06
166,ANDHERI EAST,9,MANOJ NAYAK,Right to Recall Party,116,2,118,0.07
166,ANDHERI EAST,10,ADV. SANJEEVKUMAR APPARAV KALKORI,Vanchit Bahujan  Aaghadi,1813,8,1821,1.08
166,ANDHERI EAST,11,PAHALSINGH DHANSINGH AUJI,Independent,276,2,278,0.16
166,ANDHERI EAST,12,FARHANA SIRAJ SAYED,Independent,247,7,254,0.15
166,ANDHERI EAST,13,NOTA,None of the Above,2319,27,2346,1.39
167,VILE PARLE,1,ALAVANI PARAG,Bharatiya Janata Party,96749,510,97259,61.7
167,VILE PARLE,2,JUILEE OMKAR SHENDE,Maharashtra Navnirman sena,12073,50,12123,7.69
167,VILE PARLE,3,SANDEEP RAJU NAIK,Shiv Sena (Uddhav Balasaheb Thackeray),42140,184,42324,26.85
167,VILE PARLE,4,SANTOSH GANPAT AMBULGE,Vanchit Bahujan  Aaghadi,2193,8,2201,1.4
167,VILE PARLE,5,SUPRIYA UDAY PIMPLE,Independent,636,3,639,0.41
167,VILE PARLE,6,HARBANS SINGH BANWAIT BITTU BHAI,Independent,825,2,827,0.52
167,VILE PARLE,7,NOTA,None of the Above,2248,7,2255,1.43
168,CHANDIVALI,1,KHAN MOHD. ARIF (NASEEM),Indian National Congress,103800,216,104016,43.31
168,CHANDIVALI,2,DILIP BHAUSAHEB LANDE,Shiv Sena,124237,404,124641,51.9
168,CHANDIVALI,3,MAHENDRA MANJI BHANUSHALI,Maharashtra Navnirman sena,7331,16,7347,3.06
168,CHANDIVALI,4,GAFFAR IBRAHIM SAYED,All India Majlis-E-Inquilab-E-Millat,218,0,218,0.09
168,CHANDIVALI,5,SABEEL TUFIL AHMAD SIDDIQUI,Rashtriya Ulama Council,91,0,91,0.04
168,CHANDIVALI,6,ATUL ANIL MAGHADE,Independent,97,1,98,0.04
168,CHANDIVALI,7,ADV. UTTAMKUMAR (BHAINA) NAKUL SAJANI SAHU,Independent,186,0,186,0.08
168,CHANDIVALI,8,TAUFIK AHMED ANSARI,Independent,130,1,131,0.05
168,CHANDIVALI,9,DILIP LANDE,Independent,445,11,456,0.19
168,CHANDIVALI,10,PAWAN KUMAR UMAPATI PATHAK,Independent,192,2,194,0.08
168,CHANDIVALI,11,SANDEEP (BHAU) RAMCHANDRA JADHAV,Independent,525,3,528,0.22
168,CHANDIVALI,12,NOTA,None of the Above,2231,16,2247,0.94
169,GHATKOPAR WEST,1,GANESH ARJUN CHUKKAL,Maharashtra Navnirman sena,25765,97,25862,15.46
169,GHATKOPAR WEST,2,RAM KADAM,Bharatiya Janata Party,72881,290,73171,43.74
169,GHATKOPAR WEST,3,VIDHYASAGAR ALIAS SURESH BHIMRAO VIDHYAGAR,Bahujan Samaj Party,604,4,608,0.36
169,GHATKOPAR WEST,4,SANJAY DATTATRAY BHALERAO,Shiv Sena (Uddhav Balasaheb Thackeray),59862,338,60200,35.99
169,GHATKOPAR WEST,5,SAGAR RAMESH GAWAI,Vanchit Bahujan  Aaghadi,4612,37,4649,2.78
169,GHATKOPAR WEST,6,SANTOSH SHETTY,Right to Recall Party,131,1,132,0.08
169,GHATKOPAR WEST,7,HAYATTULLA ABDULLA SHAIKH,Akhil Bharatiya Muslim League (Secular),210,1,211,0.13
169,GHATKOPAR WEST,8,ADV. RAAKESH SAMBHAJI RAUL,Independent,101,2,103,0.06
169,GHATKOPAR WEST,9,SHAHAJI NANAI THORAT,Independent,222,2,224,0.13
169,GHATKOPAR WEST,10,SIRAJ KHAN,Independent,257,0,257,0.15
169,GHATKOPAR WEST,11,SANDESH KRUSHNAJI MORE,Independent,201,3,204,0.12
169,GHATKOPAR WEST,12,HARIDAS RAJARAM KONDE,Independent,274,1,275,0.16
169,GHATKOPAR WEST,13,NOTA,None of the Above,1379,8,1387,0.83
170,GHATKOPAR EAST,1,KULTHE SANDEEP SUDHAKAR,Maharashtra Navnirman sena,5558,57,5615,3.76
170,GHATKOPAR EAST,2,JADHAV RAKHEE HARISHCHANDRA,Nationalist Congress Party- Sharadchandra Pawar,49933,456,50389,33.71
170,GHATKOPAR EAST,3,PARAG SHAH,Bharatiya Janata Party,85132,256,85388,57.12
